epoch,train_loss_std,val_rmse_fwi
0,0.32631719156565364,13.843258930195145
1,0.260293447819109,13.888126976587825
2,0.24549845662957684,13.935818395210969
3,0.23611944493801643,13.923325182627753
4,0.22844338701718764,13.768247101726633
5,0.22203661121644525,14.171234655018306
6,0.21654241342201103,13.865525119997821
7,0.21220102699239632,13.96362623036634
8,0.2085133371473434,13.973969036337289
9,0.20500359091432835,14.06027870400509
10,0.2014958490009122,14.214321283875115
11,0.19946466975776664,14.114486918603417
12,0.1964994089850709,14.448605355339518
