epoch,train_loss_std,val_rmse_fwi
0,0.36992157053318914,16.608617216594553
1,0.29225720952651296,15.905630936677076
2,0.2728964190564918,15.862836201227584
3,0.25914190514390145,15.729517488920324
4,0.2502260985267814,16.147295940536036
5,0.24164421242766237,15.992048139857207
6,0.23580863916301217,15.959255113318635
7,0.22905954797206451,16.639381838521242
8,0.22421725453680494,16.775884675902766
9,0.21798767060526636,16.15767920102957
10,0.21423436561918305,15.946006438036198
11,0.21044485635826896,16.216399762210955
