decile,bias,obs_mean,n,aridity_tier,seed
8,-1.855571169416926,64.5461330110301,20197,Semi-Arid,2
9,-5.191200799066953,77.32447586808425,20197,Semi-Arid,2
10,-17.292006855443635,106.96063469553945,20197,Semi-Arid,2
1,6.756203750094891,4.755533976083988,3474,Sub-Humid,2
2,5.101692725400775,9.435969085355504,3474,Sub-Humid,2
3,3.9436322753352018,12.956634089437426,3473,Sub-Humid,2
4,3.1057991021968143,16.652758208588267,3474,Sub-Humid,2
5,1.6831360865557956,20.795449209987634,3473,Sub-Humid,2
6,-0.13939270025072137,25.57660247253925,3474,Sub-Humid,2
7,-1.2174122241394705,31.45069880108316,3473,Sub-Humid,2
8,-2.5439348959628303,39.127013737620004,3474,Sub-Humid,2
9,-3.9612247051233354,48.259645097915346,3473,Sub-Humid,2
10,-10.159011289044964,65.4138644633492,3474,Sub-Humid,2
1,11.351016371126759,13.775614026340866,11920,Arid,3
2,8.96569265984989,22.672487105354126,11917,Arid,3
3,7.43153194392283,31.576084222371147,11918,Arid,3
4,5.513276215640048,41.527768551809935,11919,Arid,3
5,3.64333398020309,51.853356949251086,11918,Arid,3
6,2.878997044381261,62.16025405289705,11918,Arid,3
7,1.7705876181575104,72.79205729540958,11919,Arid,3
8,-0.2020683551798697,83.87388115692096,11918,Arid,3
9,-5.374364834926389,97.21647993752751,11918,Arid,3
10,-17.47337238573087,124.52547806466342,11919,Arid,3
1,2.683244244429063,1.3834520395630325,5700,Humid,3
2,1.6629235068251538,3.7628760222561373,5699,Humid,3
3,1.1159581416797437,5.707835864672611,5699,Humid,3
4,0.510713137501554,7.6617364414076325,5699,Humid,3
5,-0.17401419674399746,9.807837122791755,5699,Humid,3
6,-0.8923566316715555,12.592913546253955,5702,Humid,3
7,-1.9743509152884222,16.272270758674463,5696,Humid,3
8,-3.3430927486431385,20.952836351031532,5699,Humid,3
9,-5.482452802151785,27.99108487644713,5699,Humid,3
10,-10.74617225159468,44.13745127319898,5700,Humid,3
1,10.252032122284987,10.481312686549773,20197,Semi-Arid,3
2,6.9808000668802945,18.382158026577546,20197,Semi-Arid,3
3,5.640367121015222,24.811047993811755,20197,Semi-Arid,3
4,3.750008527900603,31.588378982518947,20196,Semi-Arid,3
5,2.181514088933516,38.88345008857176,20197,Semi-Arid,3
6,0.4354322005198679,46.722269774701424,20197,Semi-Arid,3
7,-0.6067213565427467,54.99461708139793,20196,Semi-Arid,3
8,-2.855677306095552,64.5461330110301,20197,Semi-Arid,3
9,-5.834996079065851,77.32447586808425,20197,Semi-Arid,3
10,-17.671530432530783,106.96063469553945,20197,Semi-Arid,3
1,5.782645983669123,4.755533976083988,3474,Sub-Humid,3
2,3.8466667823806895,9.435969085355504,3474,Sub-Humid,3
3,2.4753919655086682,12.956634089437426,3473,Sub-Humid,3
4,1.320784058633545,16.652758208588267,3474,Sub-Humid,3
5,-0.05278920580865073,20.795449209987634,3473,Sub-Humid,3
6,-1.9232866120571244,25.57660247253925,3474,Sub-Humid,3
7,-3.2763924091616157,31.45069880108316,3473,Sub-Humid,3
8,-4.908942232407621,39.127013737620004,3474,Sub-Humid,3
9,-6.495609084916411,48.259645097915346,3473,Sub-Humid,3
10,-12.28314488736499,65.4138644633492,3474,Sub-Humid,3
1,10.167754338712966,13.775614026340866,11920,Arid,4
2,8.248184027811739,22.672487105354126,11917,Arid,4
3,6.672401863645184,31.576084222371147,11918,Arid,4
4,4.715066189704834,41.527768551809935,11919,Arid,4
5,2.5465521374390163,51.853356949251086,11918,Arid,4
6,1.7947964232297766,62.16025405289705,11918,Arid,4
7,0.5668185272904541,72.79205729540958,11919,Arid,4
8,-1.3434263201064922,83.87388115692096,11918,Arid,4
9,-6.250343350073424,97.21647993752751,11918,Arid,4
10,-18.06514111290783,124.52547806466342,11919,Arid,4
1,2.6373521920854106,1.3834520395630325,5700,Humid,4
2,1.6133647987494677,3.7628760222561373,5699,Humid,4
3,0.8885524133416357,5.707835864672611,5699,Humid,4
4,0.39220384351771015,7.6617364414076325,5699,Humid,4
5,-0.2823209403142194,9.807837122791755,5699,Humid,4
6,-1.1202433937636804,12.592913546253955,5702,Humid,4
7,-2.230057419183402,16.272270758674463,5696,Humid,4
8,-3.57159281216816,20.952836351031532,5699,Humid,4
9,-5.721316607086274,27.99108487644713,5699,Humid,4
10,-10.960296639500136,44.13745127319898,5700,Humid,4
1,9.836221617580751,10.481312686549773,20197,Semi-Arid,4
2,6.765530394887502,18.382158026577546,20197,Semi-Arid,4
3,5.752512247812595,24.811047993811755,20197,Semi-Arid,4
4,4.1409504107603645,31.588378982518947,20196,Semi-Arid,4
5,2.4988273412734365,38.88345008857176,20197,Semi-Arid,4
6,1.012227031106098,46.722269774701424,20197,Semi-Arid,4
7,-0.11784313945351385,54.99461708139793,20196,Semi-Arid,4
8,-2.299574267790588,64.5461330110301,20197,Semi-Arid,4
9,-5.049882125869019,77.32447586808425,20197,Semi-Arid,4
10,-16.47006800897191,106.96063469553945,20197,Semi-Arid,4
1,5.697038805229623,4.755533976083988,3474,Sub-Humid,4
2,3.9374627135397566,9.435969085355504,3474,Sub-Humid,4
3,2.7118048536591055,12.956634089437426,3473,Sub-Humid,4
4,1.5942424262060257,16.652758208588267,3474,Sub-Humid,4
5,0.14893966250670737,20.795449209987634,3473,Sub-Humid,4
6,-1.6483930677299972,25.57660247253925,3474,Sub-Humid,4
7,-2.877191206453544,31.45069880108316,3473,Sub-Humid,4
8,-3.6634434596515324,39.127013737620004,3474,Sub-Humid,4
9,-5.003991377451617,48.259645097915346,3473,Sub-Humid,4
10,-11.489906511318702,65.4138644633492,3474,Sub-Humid,4
