cell_id,lon,lat,cluster_region,aridity_index,aridity_tier,kge_mean,kge_std,r_mean,r_std,alpha_mean,alpha_std,beta_mean,beta_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,nrmse_mean,nrmse_std
0,-99.0,26.5,Hot-Humid,0.26286447048187256,Semi-Arid,0.6727359371662474,0.021011167768142627,0.7251007348020225,0.021078512070148697,0.8272542987005942,0.028005988033641065,1.026308327668342,0.02148311840892221,0.5087234697676442,0.03602273626692227,15.919448853846797,0.5817437200174705,11.916788633509702,0.47372496560326005,0.7005371186718714,0.025599697148310372
1,-98.75,26.5,Hot-Humid,0.27535372972488403,Semi-Arid,0.6724870277423388,0.02886781829739994,0.7438799409881076,0.01369075918304079,0.7983347254446844,0.03625632771045949,1.005925209531073,0.023140481225839057,0.5473165826866799,0.01917159120947036,15.269118226880437,0.3236422189457347,11.309740458962386,0.2718265585091462,0.6726966448382907,0.014258389487714096
2,-98.5,26.5,Hot-Humid,0.28323495388031006,Semi-Arid,0.6778979433627202,0.023949019925709344,0.7508473993715998,0.012500818949199752,0.79745188113016,0.02586832977049932,0.9929676495187684,0.022248981880567835,0.5591440648916018,0.01905922461592106,15.105505175175178,0.32687535503926907,11.176591393811055,0.2750208565674314,0.6638454987509798,0.014365274817293893
3,-98.25,26.5,Hot-Humid,0.2870771288871765,Semi-Arid,0.6641144857273398,0.020777143694769084,0.7278771951140808,0.013234318649493515,0.8053704370693989,0.031204341607986887,1.011777974156765,0.014795927534383298,0.5214488289615362,0.02145285567044739,15.286728767303634,0.34317674430242706,11.519596871237324,0.2818231298212133,0.6916345188088519,0.015526728185278253
4,-98.0,26.5,Hot-Humid,0.33045342564582825,Semi-Arid,0.6811627941505876,0.01698265833775457,0.7409949607760542,0.008166737659850196,0.8159359139129837,0.025560129031193386,1.0100415928744337,0.017601421222983624,0.5413321752093101,0.014026505018953129,14.88124527261048,0.22685749954963283,11.136156856849666,0.19989711299787527,0.6771872464593874,0.01032339717842233
5,-99.0,26.75,Hot-Humid,0.2688438594341278,Semi-Arid,0.657549487260529,0.022514135261537088,0.7086651079924506,0.016775876972882325,0.8231658717569484,0.035155325996213904,0.998561145893483,0.019862105749032653,0.4863966169003664,0.02984167825570788,16.14007471407485,0.46755494121808777,12.074329306246478,0.3877321829237863,0.7164208334450938,0.02075368959579402
6,-98.75,26.75,Hot-Humid,0.2877127528190613,Semi-Arid,0.645924098318333,0.02896220418716924,0.7087308434528192,0.02457610177526138,0.8019515996989248,0.03399788443883429,0.9867492602365557,0.02226112944017977,0.48991738805722046,0.04202493055898273,15.828496648697435,0.6589672246118693,11.659796308945158,0.4551041280613806,0.7137060541486981,0.02971279636526682
7,-98.5,26.75,Hot-Humid,0.2952564060688019,Semi-Arid,0.6459407149704821,0.019579470669079394,0.7117421628452063,0.014664841557724257,0.7962503428145846,0.029788988794566446,1.0029900675360683,0.01445962999619903,0.497795368988106,0.025503519488735468,15.870117788541943,0.4005173942311254,11.836658535426857,0.2700351507080935,0.7084835011618127,0.017880142385959197
8,-98.25,26.75,Hot-Humid,0.30658915638923645,Semi-Arid,0.6680923708587703,0.026444384438299957,0.7287526275487142,0.011742988575374995,0.8168916000916205,0.040324314775351915,1.0456751504229433,0.01229418550017182,0.5122195814131009,0.021335919911953907,14.995226937210415,0.33004292729711415,11.700618618687761,0.2757205754812938,0.6982774905545196,0.015368993614655473
9,-98.0,26.75,Hot-Humid,0.3384022116661072,Semi-Arid,0.695151486046256,0.016571901333721748,0.7413606024183041,0.00797605326619716,0.8534992121812628,0.03740974985487555,1.0594213717199517,0.010846376867194085,0.5192654481248555,0.01826463404941361,14.456377661042717,0.273570469029185,11.376785194922789,0.307474718277863,0.6932509399097444,0.013118983830722143
10,-97.75,26.75,Hot-Humid,0.3942697048187256,Semi-Arid,0.6261536016092377,0.016924037412035596,0.6797064698702776,0.013700158894197505,0.9737223811334463,0.018445160502851964,1.1898774891391684,0.01717606640763879,0.19574407982367897,0.05882346872980155,11.650187030570807,0.4267804185743493,9.104113863584242,0.40535046802296315,0.8963221605853434,0.032834901780399633
11,-97.5,26.75,Hot-Humid,0.4247767925262451,Semi-Arid,0.5430177892565021,0.041784927307913826,0.5888446393212615,0.0277921256370175,0.8269575393962929,0.07568410831514694,1.066378332002278,0.04514738518116291,0.25752172980156035,0.04310458153055771,10.864404000060883,0.31239698517325176,8.537695273566452,0.19445002208369883,0.8613869562671681,0.024768472177941724
12,-99.25,27.0,Hot-Humid,0.2468845397233963,Semi-Arid,0.6659751411050441,0.02005678832054485,0.7232824422199006,0.01622971023508967,0.8243183602808705,0.03288857139290088,1.0533893154037777,0.025770927186700623,0.49618159482103363,0.0311546875385277,17.036310772324995,0.5215203895472875,13.00407916537867,0.5922673074718784,0.7095357501426607,0.02172051013610546
13,-99.0,27.0,Hot-Humid,0.26512959599494934,Semi-Arid,0.6912499199051352,0.021207573506999675,0.7354232230417813,0.023123977325912124,0.8469015178160071,0.026745268750108568,0.9704851153914282,0.02165797051384089,0.521114500283683,0.043940719869856724,15.323465453209337,0.7093019295584062,11.241584399383635,0.5515411815900947,0.6914232008677202,0.03200501949212861
14,-98.75,27.0,Hot-Humid,0.29215866327285767,Semi-Arid,0.6930007552313369,0.026465456963038318,0.738517598836727,0.0182906562077941,0.8439536369475581,0.037897498311548296,0.9843485500341268,0.023015657878697166,0.5298430209034973,0.03363134301381162,15.133830658579978,0.5386131260830007,11.224813696132852,0.384609508995986,0.6853327968601992,0.024390998449213035
15,-98.5,27.0,Hot-Humid,0.3200387954711914,Semi-Arid,0.6894190983635035,0.023137743931620644,0.7397513088750317,0.005955444200972112,0.8330173930157964,0.0376074705771364,1.0040839894351932,0.011163447745631952,0.5369153372196405,0.01010706824625137,15.136578290385154,0.16549608208281041,11.383637302470875,0.12642534474158143,0.6804707051839192,0.0074399400921144445
16,-98.25,27.0,Hot-Humid,0.33751949667930603,Semi-Arid,0.6674305229669986,0.015440078102192206,0.7517411671649118,0.005170137831088845,0.7885265096498909,0.029011113731214098,1.0607966156469808,0.0078070602443041535,0.5464692890594481,0.010742867115396702,14.520189568957182,0.1719188029130039,11.311607907200996,0.22798227089402662,0.6734091282475644,0.007973152874430787
17,-98.0,27.0,Hot-Humid,0.34631112217903137,Semi-Arid,0.670748621890931,0.01662086322312065,0.7309711931853969,0.0033515664637071272,0.816424474592084,0.02917596393086765,1.0410732778952227,0.014748304350080808,0.5179959769938254,0.00831684511846816,14.40059029444457,0.12398990480967474,11.302568400015153,0.22782026614130244,0.6942445093379294,0.0059774848716206445
18,-97.75,27.0,Hot-Humid,0.4111992120742798,Semi-Arid,0.6516660089896202,0.018370017120253015,0.7066267594139646,0.023197969872863964,0.9450842700981322,0.02930572908446383,1.1763802738098272,0.01921462313793292,0.29481877353174113,0.045549929049827576,10.814510249786853,0.34681942513743436,8.586153508589993,0.3154769999290286,0.839405441537987,0.02691958359345738
19,-99.25,27.25,Hot-Humid,0.2697974443435669,Semi-Arid,0.6701405781262781,0.025029236509839944,0.7350773552763249,0.013905737684255794,0.8082134352579526,0.03716024395775701,1.0281557369796972,0.019044884419170967,0.5289637531017368,0.022339346286147133,16.598766861817136,0.388299031166043,12.373106353902298,0.42799867666896957,0.6861706200014256,0.01605175789136828
