aridity_tier,month,kge_mean,kge_std,r_mean,r_std,alpha_mean,alpha_std,beta_mean,beta_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,nrmse_mean,nrmse_std
Arid,1,0.6529469745585829,0.01988939505388908,0.7468531984571772,0.0028629366892256127,0.774763077145073,0.031197779680408443,1.07053992926747,0.015256901560125862,0.5425760216654035,0.008592530945812913,14.475633599486082,0.13584844599697973,11.092292494255942,0.16394596741209042,0.6763074388782445,0.006346894176091073
Arid,2,0.5916869061933392,0.01842504145103211,0.7043818309998306,0.022207855530651688,0.7600063905626464,0.054847673921187126,1.1324912008664763,0.045401688152176635,0.44070195195675976,0.06370002307014008,17.120823119080256,0.9773684985388087,13.233142555406975,0.914035251512875,0.7468893457411891,0.04263732609959439
Arid,3,0.6794288028755459,0.01716671384054749,0.8045117422883221,0.016094355473411072,0.7981195735734345,0.038368487361073844,1.1486743629523948,0.026011591648421192,0.5872296779159779,0.03307112516658194,17.467735168755738,0.7074693547550598,13.779110712666835,0.6149344884651136,0.6420508973909229,0.026004019966454503
Arid,4,0.5494798015900834,0.038203959147969514,0.7290327574833776,0.029765845632047202,0.6433266931578835,0.03261181121956621,0.9592145434838676,0.018503605703456084,0.5141341330179013,0.04298318549618444,26.109466701022257,1.1584221158239083,18.220852613488386,0.8138047878252471,0.6964925875399428,0.03090191102532555
Arid,5,0.7087076496833099,0.028823431897429738,0.777330597846602,0.01689402130707068,0.8162330491401317,0.04434027716543457,0.9984024267513268,0.021218621011479866,0.597140079681556,0.03141876490046215,17.64683603946696,0.6818348080524682,13.814247093761887,0.4387180425624393,0.6343337901568615,0.02450925803840947
Arid,6,0.7566996144776283,0.012974350156237949,0.8073038272795687,0.009223542190261693,0.8524803919407068,0.01258267092337268,1.0003860799211208,0.017357560804287752,0.6469049805000701,0.017733192865825413,16.631919732691138,0.42044655362613137,13.037259484498161,0.34001129958174175,0.5940661533989354,0.015017693136864312
Arid,7,0.8348608296151102,0.010874776131629718,0.8917397412349597,0.001980979299100275,0.8792607069929954,0.018643939105350716,1.0227816163506263,0.018271393536420065,0.7901391167227617,0.007376330330545141,12.494560157886198,0.21904471267292416,9.857524031764944,0.2159520398323103,0.4580494476683651,0.008030159396301887
Arid,8,0.8307051124718431,0.007860104909546015,0.8468526191962678,0.00531979129270622,0.9545945159507317,0.023142373781245923,1.0498644925954426,0.01791795109055502,0.6849502440648629,0.015575601634687653,12.663232304647734,0.31095977884043063,9.889802888935568,0.23143149317587972,0.5611575968668457,0.013779850042891222
Arid,9,0.8002930600455311,0.014268491518587353,0.8266329863850039,0.015886440104382334,0.9062623284077189,0.028444868219141828,1.0147639736910694,0.013023763661087127,0.6737272040911517,0.03141801691801308,14.534144957578855,0.7000084706854599,10.954767223571695,0.3905267716536798,0.5706736714617129,0.027485373593447132
Arid,10,0.798089124071333,0.010485810536187145,0.8405254224450849,0.012489178212481923,0.8778362212787778,0.01645264791401114,0.9980958278419925,0.013913691563707836,0.7040974709546912,0.023157399983663837,17.781135006994635,0.6848004308354071,13.25171582673867,0.43690959281288916,0.5436467892800536,0.020937333605240447
Arid,11,0.6934899054063276,0.02497919343509932,0.7370945798918976,0.021640774919181684,0.8463397354684024,0.029897540505294785,1.0157078769845709,0.021805478100725532,0.5280293215334393,0.04006576670939819,16.32310872885817,0.7005558916068985,12.526614011433447,0.5713926198984005,0.6864956092260167,0.029463048466699445
Arid,12,0.6017517532264488,0.023714080547070766,0.7434111558948443,0.01519193333045687,0.7100020261956713,0.020809841407117446,1.0916778512885146,0.014957796223104771,0.535630041443597,0.021979415140109333,16.176849390731462,0.38414949960477685,11.845193893915273,0.3444235307478022,0.6812933005323014,0.016178581759778366
Humid,1,0.5041399253455104,0.04462021743929268,0.6649474556300916,0.035382924122434864,0.6373932669830659,0.03721407859048672,0.971444803936879,0.03164774809956015,0.43962965446873375,0.04625128118805359,5.098957414721745,0.21309358873505685,3.4982705598137316,0.1080582619656651,0.7480564628307321,0.03126247647819437
Humid,2,0.5540845054263788,0.021651218908026956,0.6612306732253308,0.030529373161842385,0.7213507733257876,0.03385190294430525,0.956429181524002,0.06368662385018332,0.4252785133280318,0.046401100075194365,4.107655630491391,0.1664845193448863,2.7554909596671835,0.128667905342137,0.7576062298461486,0.030706008578800563
Humid,3,0.5409635784221623,0.019182251218579256,0.6918898046747655,0.03256828350170711,0.6708291473459145,0.026260737266069874,0.9264001203093019,0.03365751817899348,0.4643794193157314,0.04158397568161072,5.488297951561218,0.21221488943258776,3.769128898427405,0.13234293791299734,0.7314237431130618,0.028281811618655624
Humid,4,0.64934697798648,0.020973672493416074,0.74759374762657,0.036233974045525565,0.7935305711999606,0.02141019350549503,0.8771909598029387,0.024285241616715605,0.513892607444453,0.0640181458556853,5.660814962179326,0.3782633100031553,3.94688435670502,0.19853475823457473,0.6959720980457986,0.04650579664509874
Humid,5,0.7401732517533335,0.034652729546486495,0.8650646818056856,0.020276107266085554,0.7884891915177853,0.028650561451504672,0.9510173848749626,0.05173670714642407,0.7363713308944757,0.035211078092479774,5.391582404487775,0.34882374666192545,3.754516676821036,0.07849181256726352,0.512590299995253,0.03316348625184217
Humid,6,0.7060428209055358,0.040102500289498876,0.8325872781221968,0.013813034375817107,0.7927321950625543,0.026514990151419796,0.8802045872723342,0.045337795310851074,0.657449644512486,0.03908195757736152,7.399430562904786,0.41756512325676515,5.523305081121597,0.20348276949002997,0.5845338917770372,0.03298645274019797
Humid,7,0.7876108709723112,0.026273371915250723,0.8676368765302407,0.01050809759748039,0.9096865760339454,0.018533877741754304,0.8653375520447799,0.043124072493372245,0.6914130269740236,0.03497300418662124,7.052859385682541,0.3974421068287209,5.544892052327926,0.29371175834416374,0.5548017806641519,0.03126414075787609
Humid,8,0.6554431590676185,0.0360395033221238,0.7521462563195421,0.009285060078209444,0.8482142823896706,0.012839630457155079,0.8176463048237895,0.047885097381673535,0.37490344337219345,0.09927522821115436,9.112041620020175,0.7297898892285024,7.243552814522443,0.6404210708377076,0.7886096481184389,0.06316030717862428
Humid,9,0.6163467199439581,0.022944155279374937,0.8746927167974959,0.008845228632657597,0.722340689606155,0.010683170290534519,0.7671616495140053,0.023632256036867277,0.629366307828483,0.036020028878424,10.528660092641477,0.5152672497119364,7.62230359941258,0.3950823588281965,0.6082145133784664,0.02976570777153664
