aridity_tier,kge_mean,kge_std,r_mean,r_std,alpha_mean,alpha_std,beta_mean,beta_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,nrmse_mean,nrmse_std
Arid,0.8004088321008727,0.014520133899433223,0.8768660607968947,0.0026535777704883895,0.8447648995573944,0.021297622609640156,1.017519588393115,0.009351350202922076,0.7662288488658593,0.004130352555533952,16.415619208632375,0.1446440213269538,12.101725999797278,0.08230207673339708,0.4834838487600268,0.004260152921585078
Humid,0.7045219584532668,0.025494358120507075,0.8571582671245384,0.005913274446876575,0.7694381830833412,0.027385831941429427,0.8843310902358466,0.017939956508593716,0.7080605618296423,0.013216114836288685,6.99825548784951,0.1574245359978227,4.739912225241188,0.090684527735949,0.5402048730775098,0.012151814353682877
Semi-Arid,0.7724116015566125,0.013953261662749742,0.8450671831217409,0.0046198223645259875,0.834369505803106,0.019085453938583314,1.0086797411051887,0.012785724797578153,0.7131703419846002,0.007355977078811024,15.498225069972552,0.19872711489129846,11.115119815274417,0.09431306345859436,0.5355295836145139,0.006866866922512662
Sub-Humid,0.770225664184005,0.02400456927654619,0.844694889579832,0.0038938169022138557,0.837760347596042,0.03142928901380291,0.9623109485226232,0.027226010683183515,0.708164359591838,0.0070036968179651785,9.946366444731261,0.11912256519003743,7.359614701891802,0.08978093664577592,0.5401871494065577,0.0064695463692763435
