aridity_tier,decile,bias_mean,bias_std,obs_mean,n_mean
Arid,1,11.671685457702432,0.64886082008839,13.775614026340866,11920.0
Arid,2,9.668927942568585,0.7535428968745661,22.672487105354126,11917.0
Arid,3,8.281392561334979,0.7393533947878869,31.576084222371144,11918.0
Arid,4,5.737101385038036,0.7733264234297772,41.527768551809935,11919.0
Arid,5,3.2881551923910814,0.7664700026331781,51.853356949251086,11918.0
Arid,6,2.196832987685154,0.9335702536258739,62.16025405289705,11918.0
Arid,7,0.9641911512835012,1.0805522959821505,72.79205729540958,11919.0
Arid,8,-1.1578731156416167,1.1734940718504236,83.87388115692096,11918.0
Arid,9,-6.053169294454969,1.0630097482991578,97.21647993752751,11918.0
Arid,10,-18.62160261313308,1.4277726856453399,124.52547806466342,11919.0
Humid,1,3.0268500397777993,0.3612346017162147,1.3834520395630325,5700.0
Humid,2,2.0322911888985193,0.29729618817643405,3.7628760222561377,5699.0
Humid,3,1.2674573128787656,0.252836017390645,5.707835864672611,5699.0
Humid,4,0.6788608067163653,0.22952036435303802,7.661736441407632,5699.0
Humid,5,-0.07927863432281056,0.24846128036181409,9.807837122791755,5699.0
Humid,6,-1.1061255376771948,0.36199578247036734,12.592913546253955,5702.0
Humid,7,-2.504121574921149,0.5871945837570927,16.272270758674463,5696.0
Humid,8,-4.261268605221763,0.7627852067286028,20.952836351031532,5699.0
Humid,9,-6.916822510504206,0.8986972800896418,27.991084876447125,5699.0
Humid,10,-12.56978081388299,0.9543018873587075,44.13745127319898,5700.0
Semi-Arid,1,10.992256675602134,0.35139854514560614,10.481312686549773,20197.0
Semi-Arid,2,7.688469817732536,0.36487560227169624,18.382158026577546,20197.0
Semi-Arid,3,6.4335539917120155,0.3713132239721632,24.811047993811755,20197.0
Semi-Arid,4,4.470760681434908,0.5057228140895856,31.588378982518947,20196.0
Semi-Arid,5,2.3431623040240774,0.6345586496311229,38.88345008857176,20197.0
Semi-Arid,6,0.49918693284851845,0.6946870462469807,46.722269774701424,20197.0
Semi-Arid,7,-1.1945673535689931,0.6911421453630391,54.99461708139793,20196.0
Semi-Arid,8,-3.472336022275196,0.7777355389076798,64.5461330110301,20197.0
Semi-Arid,9,-6.3060435828419354,0.9184552284635982,77.32447586808425,20197.0
Semi-Arid,10,-18.26895238066706,0.9861352259051076,106.96063469553947,20197.0
Sub-Humid,1,6.367655053000204,0.45703686908820174,4.755533976083988,3474.0
Sub-Humid,2,4.51390465386195,0.36216534010188106,9.435969085355504,3474.0
Sub-Humid,3,3.186367402588082,0.3637853238256121,12.956634089437426,3473.0
Sub-Humid,4,1.8530783359014102,0.367883611132625,16.652758208588267,3474.0
Sub-Humid,5,0.3848685258527583,0.4105781932281717,20.795449209987634,3473.0
Sub-Humid,6,-1.4870817747405443,0.504201407050752,25.57660247253925,3474.0
Sub-Humid,7,-3.0464019453516444,0.4770771706726658,31.45069880108316,3473.0
Sub-Humid,8,-5.044016252361068,0.7867955322165211,39.127013737620004,3474.0
Sub-Humid,9,-7.493451944452919,0.9678114457663837,48.259645097915346,3473.0
Sub-Humid,10,-14.201486960263725,0.6950795766690658,65.4138644633492,3474.0
