units,n,kge,r,alpha,beta,r2,rmse,mae,nrmse,group,seed
fwi,119184,0.7850893879108294,0.8801059158869298,0.8221683182755342,1.0137066683872584,0.7706390922068251,16.260541271783303,12.084317171081707,0.47891638914655543,Arid,0
fwi,56992,0.7035991531279125,0.8673954030901844,0.760497591181586,0.8863862725061217,0.7235796438823288,6.811085105746518,4.6073589374885,0.5257569363476541,Humid,0
fwi,201968,0.7617143022659979,0.8510116025321046,0.8141728583608683,1.0071277341952902,0.7227269650845928,15.23885422284978,10.989481675446058,0.5265672178510614,Semi-Arid,0
fwi,34736,0.7515016485624837,0.8506299874169092,0.8072873306195288,0.9520223273975917,0.7165797484191534,9.802472816586903,7.28436139133749,0.5323722866386328,Sub-Humid,0
fwi,119184,0.7973509998909654,0.8774864818382342,0.8386889721642876,1.0059839294284114,0.7683647207909469,16.340963174525015,12.030415581776358,0.48128502907222576,Arid,1
fwi,56992,0.6619636754119895,0.8537753953320671,0.729591745850148,0.8594073336965737,0.6869150193116061,7.248738168641588,4.859607609629541,0.5595399723776612,Humid,1
fwi,201968,0.7568189258775797,0.8392043786601918,0.8177529661472275,0.9917646116578852,0.7036213523585875,15.755128604552118,11.235719498450418,0.5444066932371537,Semi-Arid,1
fwi,34736,0.740700153808945,0.8400870057496695,0.8033463165933622,0.9453047231728334,0.6977512132850401,10.122842741225345,7.483429524324986,0.5497715768525687,Sub-Humid,1
fwi,119184,0.7886073525290893,0.878272097413906,0.8285957375424954,1.0221302496178868,0.7673546456509079,16.376552844101557,12.102772424493892,0.4823332399380038,Arid,2
fwi,56992,0.710280650106716,0.8534268518124483,0.7673527590081443,0.9087373285956715,0.7097220249804546,6.979725424148022,4.768112473355389,0.538774512221528,Humid,2
fwi,201968,0.7722607505719695,0.846483416253143,0.8339512225151355,1.0269374783622913,0.714424820598454,15.465313414027214,11.171066207469355,0.534392345942142,Semi-Arid,2
fwi,34736,0.7954685837038122,0.8442221370115716,0.8677930558144966,1.009363843442416,0.7119606641651612,9.882028622293108,7.42155919944828,0.536692962348901,Sub-Humid,2
fwi,119184,0.8139737643464589,0.8733842723726135,0.8672245973736414,1.0307393937191782,0.7597918816846262,16.640606049457205,12.240066187027722,0.49011031239443825,Arid,3
fwi,56992,0.7280274017626913,0.8540436312375254,0.7989920655374195,0.8892676971579114,0.7098616387818448,6.978046717386907,4.738738259186339,0.5386449305601558,Humid,3
fwi,201968,0.779647496901565,0.8418147669486069,0.8466710468408463,1.0047843274700106,0.7085669335438523,15.623125070381745,11.109973262945072,0.5398454097759354,Semi-Arid,3
fwi,34736,0.7722243394960806,0.8456094325705699,0.8423638191967601,0.9434655971236666,0.7079452981855039,9.950669644830445,7.278804061346069,0.5404208561986632,Sub-Humid,3
fwi,119184,0.8170226558270207,0.8750815364727896,0.8671468724310133,1.0150377008128393,0.7649939039959904,16.459432703294794,12.051058634606717,0.48477427324891076,Arid,4
fwi,56992,0.7187389118570245,0.8571500541504667,0.7907567538394081,0.8778568192229547,0.7102244821919774,6.973682023324512,4.725743846546171,0.5383080138805502,Humid,4
fwi,201968,0.7916165321659505,0.8468217512146583,0.8592994351514517,1.0127845538404656,0.7165116383375143,15.408704038051903,11.069358432061183,0.5324362512662767,Semi-Arid,4
fwi,34736,0.7912335953487035,0.8429258851504399,0.8680112157560619,0.9613982514766081,0.7065848739043313,9.973818398720503,7.329919333002186,0.5416780649940227,Sub-Humid,4
