units,n,kge,r,alpha,beta,r2,rmse,mae,nrmse,group,aridity_tier,month,seed
fwi,9741,0.8161802963528527,0.8393570436566625,0.914831116097763,1.027014537587101,0.6941878219953133,14.084098016256776,10.702275657610661,0.5530028734144938,Arid|9,Arid,9,0
fwi,4658,0.4931511762241987,0.6455722936316217,0.6381691780368335,0.9811535839262956,0.41632571081873215,5.207536073047457,3.592288457674925,0.7639857912168706,Humid|1,Humid,1,0
fwi,4658,0.6076436629502076,0.8144110991369693,0.6912441182814415,0.8445327667841933,0.6159708820757951,9.762706901032537,6.622102199639912,0.6197008293718872,Humid|10,Humid,10,0
fwi,4932,0.33772427730032595,0.5882624595704382,0.48833106297743606,0.9146991819230912,0.32760287580162517,9.270941757396967,5.9701778271849815,0.8199982464605486,Humid|11,Humid,11,0
fwi,4658,0.627136851880985,0.6998206283263225,0.8160742285097978,1.1228437325570686,0.4576595666386336,5.058529918312079,3.5738886904321503,0.7364376642740147,Humid|12,Humid,12,0
fwi,4384,0.5892217034028625,0.6910081522607248,0.7316446643633494,0.9646692652035791,0.4741731700712185,3.9316229421306184,2.703594689271656,0.7251391796950303,Humid|2,Humid,2,0
fwi,4932,0.5241328615170355,0.6756460110444993,0.6569216695509792,0.9404913240532755,0.44915121862025886,5.569097521392,3.807223292854041,0.742191876390291,Humid|3,Humid,3,0
fwi,4932,0.6562272578119692,0.7329522504712382,0.811527306669234,0.8934953446475269,0.5008151309246341,5.74669088106371,3.9776371787195894,0.7065301614760446,Humid|4,Humid,4,0
fwi,4658,0.7707262023635479,0.8714317959579145,0.8111023699754893,0.9811751078845977,0.7552615088135899,5.203517301401511,3.7206811634951813,0.49471051250848724,Humid|5,Humid,5,0
fwi,4658,0.743654101387101,0.8370515658607198,0.8283692951539958,0.901491479042292,0.679987476245836,7.160973878042198,5.388065147581649,0.5656964943803029,Humid|6,Humid,6,0
fwi,4932,0.7861244532073981,0.8625581613928847,0.8969366048408207,0.8726013065436189,0.6935201246055578,7.037661274311451,5.521861370964599,0.553606245805123,Humid|7,Humid,7,0
fwi,4932,0.6581681385546472,0.7521528909417994,0.8442351084868537,0.8234833418552654,0.3959700391547475,8.980134660016635,7.053891212113802,0.7771936443675106,Humid|8,Humid,8,0
fwi,4658,0.6178426941146188,0.8670672269702856,0.7260590111742755,0.7690683673954831,0.6221795237995016,10.640427366585847,7.6555072269164794,0.6146710308778985,Humid|9,Humid,9,0
fwi,16507,0.616028984078227,0.6753179284242196,0.8436236586196229,1.1325206901647662,0.37755992294812113,13.325126173168675,10.233491585799982,0.7889487163636677,Semi-Arid|1,Semi-Arid,1,0
fwi,16507,0.7482740863013433,0.8610568231747204,0.7916348629626007,0.9746090782264906,0.7349048779697156,16.3692244421723,12.552876680045648,0.5148738894431184,Semi-Arid|10,Semi-Arid,10,0
fwi,17478,0.5603864609627522,0.6457130732783307,0.7400858969215272,1.0136197019013393,0.4073902189723495,16.066805081239284,12.352635369299856,0.7698115230546049,Semi-Arid|11,Semi-Arid,11,0
fwi,16507,0.4824257070882273,0.7166849243222357,0.5715305504401049,1.063479503547718,0.48767792664632426,21.24534133476863,13.162970877160706,0.7157667730159564,Semi-Arid|12,Semi-Arid,12,0
fwi,15536,0.596122784341897,0.675964372177818,0.7794916128609146,1.0974359709293513,0.4223792563157237,14.30489138467627,10.723173103977615,0.7600136470381808,Semi-Arid|2,Semi-Arid,2,0
fwi,17478,0.6878976761629307,0.7442749086942518,0.8520139694270199,1.1005617868597142,0.5144695730470241,16.160955222452433,12.116557750789351,0.6968001341510892,Semi-Arid|3,Semi-Arid,3,0
fwi,17478,0.6194597484281008,0.7605149594739754,0.7078371632956802,0.9541886992158306,0.5677284998549833,22.475098890437724,15.575554516473149,0.6574735737237025,Semi-Arid|4,Semi-Arid,4,0
fwi,16507,0.8403271760808262,0.8917446822572276,0.8873133000691911,1.0328314565232597,0.7914493721831584,14.84013278896467,11.54304328238854,0.4566734367322471,Semi-Arid|5,Semi-Arid,5,0
fwi,16507,0.8320131101773953,0.8871311094155117,0.877285312255143,1.0205259373033475,0.7850313880402273,14.606197624740297,11.294705875200432,0.4636470769451401,Semi-Arid|6,Semi-Arid,6,0
fwi,17478,0.8350947503298064,0.8574621048326448,0.9195432898661058,1.020085009446836,0.7292143793416859,11.599014543093636,9.023662538779982,0.5203706569920273,Semi-Arid|7,Semi-Arid,7,0
