epoch,train_loss_std,val_rmse_fwi
0,0.33093831557345005,14.434105605491187
1,0.2658287054593502,14.349622952215462
2,0.24531062759428415,14.26878103238813
3,0.23311637358477807,14.286084966160052
4,0.22422080254466162,14.10784599419015
5,0.21757619636413347,14.32818575659638
6,0.21162998530190993,14.498775106328276
7,0.20700603884062183,14.526949738190012
8,0.2030848598030933,14.645850859103035
9,0.19965723748009293,14.433988657752481
10,0.19656484158931795,14.46377540362048
11,0.19365233161407103,14.403738747351175
12,0.19147527051778077,14.567200957139459
