epoch,train_loss_std,val_rmse_fwi
0,0.4247106725473538,12.22548562049584
1,0.3050975793377492,11.277880532101124
2,0.25141370620796977,10.742830751012574
3,0.23057192704237628,10.390345921169416
4,0.21740772946220482,10.492872875733736
5,0.20784814865732434,10.90723932130099
6,0.2004355995386552,10.297396698096364
7,0.19254691322204348,10.1679603156544
8,0.18758018349992378,10.24734749527818
9,0.18233115628414978,10.462218597602266
10,0.1780947633796353,10.704746153851529
11,0.17525407310744698,10.564595338643528
12,0.17085674227267095,10.658351780434844
13,0.16715137557491366,10.344254209653812
14,0.16433770188493474,10.469319103196302
15,0.16190443767389795,10.375430483524477
