,veg_onehot_nlcd41,veg_onehot_nlcd42,veg_onehot_nlcd43,veg_onehot_nlcd52,veg_onehot_nlcd71,veg_onehot_nlcd81,elevation,map_mean_annual_precip,mavpd_mean_annual_vpd
veg_onehot_nlcd41,1.0,-0.05631086646711564,-0.012407161745420326,-0.20262666998097295,-0.06712836017533003,-0.04946808523695953,-0.16324833422713103,0.26181448355008174,-0.1552737495885224
veg_onehot_nlcd42,-0.05631086646711564,1.0,-0.027604121280703456,-0.4508147219830075,-0.14935078897786844,-0.11005925871073963,0.20956321232729216,0.18982903324057152,-0.3225476458657697
veg_onehot_nlcd43,-0.012407161745420326,-0.027604121280703456,1.0,-0.09932951708576984,-0.032906959382993616,-0.024249724965653766,-0.08812464130628445,0.15320515180360614,-0.07929657787760587
veg_onehot_nlcd52,-0.20262666998097295,-0.4508147219830075,-0.09932951708576984,1.0,-0.5374176411810181,-0.39603263974200964,0.2760476596427144,-0.665827773815546,0.5379042746455017
veg_onehot_nlcd71,-0.06712836017533003,-0.14935078897786844,-0.032906959382993616,-0.5374176411810181,1.0,-0.13120198680797895,-0.175222136748548,0.19189228524040391,-0.14227640317287013
veg_onehot_nlcd81,-0.04946808523695953,-0.11005925871073963,-0.024249724965653766,-0.39603263974200964,-0.13120198680797895,1.0,-0.3706046360676372,0.5024683873009673,-0.2772728119445705
elevation,-0.16324833422713103,0.20956321232729216,-0.08812464130628445,0.2760476596427144,-0.175222136748548,-0.3706046360676372,1.0,-0.6434494870809532,-0.09677883430403982
map_mean_annual_precip,0.26181448355008174,0.18982903324057152,0.15320515180360614,-0.665827773815546,0.19189228524040391,0.5024683873009673,-0.6434494870809532,1.0,-0.6062425141329122
mavpd_mean_annual_vpd,-0.1552737495885224,-0.3225476458657697,-0.07929657787760587,0.5379042746455017,-0.14227640317287013,-0.2772728119445705,-0.09677883430403982,-0.6062425141329122,1.0
