variable,class,r,ci_lo,ci_hi,distinguishable_from_zero
Mean annual precip,Semi-Arid,0.26620307690172446,-0.21488952508224804,0.6251023644798607,False
Mean annual precip,Sub-Humid,-0.29801217709001876,-0.42860634346028176,-0.148409104934589,True
Mean annual precip,Humid,-0.3267940363518948,-0.4820087065407905,-0.14571261769443236,True
Elevation,Semi-Arid,-0.7262737660244665,-0.7571559355142906,-0.6360336480554055,True
Elevation,Sub-Humid,-0.4201737949931002,-0.5771191536468046,-0.2483101869383088,True
Elevation,Humid,-0.2539306474290442,-0.39727793443581305,-0.09823677346415396,True
Mean annual VPD,Semi-Arid,-0.0438514973838459,-0.32871089173927454,0.24739895000714654,False
Mean annual VPD,Sub-Humid,0.09557899811321696,-0.22352810726926264,0.45061901475876676,False
Mean annual VPD,Humid,-0.3114943159665654,-0.5167103598395131,0.09477880179402928,False
