epoch,train_loss_std,val_rmse_fwi
0,0.33138512163591904,14.319066453459918
1,0.26798214286626104,14.316035232000084
2,0.24776330125236729,14.551116214423217
3,0.23547742422856696,14.475584867605452
4,0.22659942099806565,14.212424230364226
5,0.21965230675031236,14.06926464786224
6,0.21396031193163548,14.234890213729413
7,0.20927683476642017,14.473051749174271
8,0.20540501080666324,14.260679054159738
9,0.20206674754131185,14.341428930155878
10,0.19920748986619993,14.348723837290654
11,0.19616218507134142,14.431022973602985
12,0.19380619022065765,14.386270855708029
13,0.1916758735564918,14.35250040120445
