epoch,train_loss_std,val_rmse_fwi
0,0.4251849059225194,10.673316642261815
1,0.31266861841891,9.640677639064997
2,0.27946484714785047,9.221175052461414
3,0.25403651782213066,9.104121010972845
4,0.23379561795642895,8.904394540735233
5,0.2221315024161326,8.997612581277457
6,0.21137855027157956,9.042326524584858
7,0.20334076306798488,9.00171684092729
8,0.19733028336680286,9.056384085081168
9,0.19094451147998237,9.144693951351309
10,0.18621548771653934,9.224325042616725
11,0.1814125106859784,9.436254771535351
12,0.17594579009805497,9.233339641774105
