epoch,train_loss_std,val_rmse_fwi
0,0.3222666262902315,14.080027328102613
1,0.25903213654933477,14.409671905396149
2,0.24099531837343516,14.10262899999517
3,0.2297132478400412,14.229902174372738
4,0.22130791117132018,14.047640304117298
5,0.21494587205942514,13.972273221977273
6,0.2095356665907357,14.166764076661085
7,0.2055755164503412,14.048548968431588
8,0.2010574473881513,14.073561332352027
9,0.19796130879266857,14.301714367730048
10,0.19482365248003145,14.44588861271002
11,0.1923911854777845,14.299818928197194
12,0.1900514958637072,14.22285831517365
13,0.18811366771235105,14.162754873808911
