cell_id,centroid_mean,lon,lat
0,30.279466292794005,-99.0,26.5
1,30.338731943137155,-98.75,26.5
2,30.316351718994646,-98.5,26.5
3,30.359978715181708,-98.25,26.5
4,30.26498040378703,-98.0,26.5
5,30.287651008295004,-99.0,26.75
6,30.347889385725676,-98.75,26.75
7,30.328408080614352,-98.5,26.75
8,30.355835149924342,-98.25,26.75
9,30.25598846758322,-98.0,26.75
10,30.009166153944815,-97.75,26.75
11,30.428542290612732,-97.5,26.75
12,30.170759259633577,-99.25,27.0
13,30.188605573952934,-99.0,27.0
14,30.250547489355085,-98.75,27.0
15,30.29198572005799,-98.5,27.0
16,30.304816751718484,-98.25,27.0
17,30.26544398257885,-98.0,27.0
18,30.045398267644206,-97.75,27.0
19,30.223021836234974,-99.25,27.25
20,30.27437246667866,-99.0,27.25
21,30.159971750755524,-98.75,27.25
22,30.245032124416095,-98.5,27.25
23,30.27170213456534,-98.25,27.25
24,30.212752284556,-98.0,27.25
25,30.221081542639205,-97.75,27.25
26,30.22593484972738,-99.25,27.5
27,30.146975952397604,-99.0,27.5
28,30.24006006352227,-98.75,27.5
29,30.215974010598774,-98.5,27.5
30,30.206822974419293,-98.25,27.5
31,30.185073461146274,-98.0,27.5
32,30.24248859486229,-99.5,27.75
33,30.21811499233725,-99.25,27.75
34,30.20839496366814,-99.0,27.75
35,30.196995329111814,-98.75,27.75
36,30.20817951408949,-98.5,27.75
37,30.192323964895106,-98.25,27.75
38,30.15625930022305,-98.0,27.75
39,30.28070650707993,-99.75,28.0
40,30.20852708061172,-99.5,28.0
41,30.08308816486477,-99.25,28.0
42,30.17533561871208,-99.0,28.0
43,30.240475906206903,-98.75,28.0
44,30.185331783199217,-98.5,28.0
45,30.197911091019005,-98.25,28.0
46,30.23777106719969,-98.0,28.0
47,30.331005986766495,-97.5,28.0
48,30.211143765450778,-100.0,28.25
49,30.111470311497285,-99.75,28.25
50,30.07982108025373,-99.5,28.25
51,30.099033264631334,-99.25,28.25
52,30.196980832184916,-99.0,28.25
53,30.067046092867923,-98.75,28.25
54,30.188621978676217,-98.5,28.25
55,30.23175689094037,-98.25,28.25
56,30.243332961305548,-98.0,28.25
57,30.358264370008747,-97.75,28.25
58,30.51116351751933,-97.5,28.25
59,30.6348832155345,-97.25,28.25
60,30.75406928218525,-97.0,28.25
61,30.186598268221132,-100.25,28.5
62,30.07143611336897,-100.0,28.5
63,29.961593847905394,-99.75,28.5
64,29.996198318538237,-99.5,28.5
65,30.030113811857657,-99.25,28.5
66,30.050002633437263,-99.0,28.5
67,30.093516795280337,-98.75,28.5
68,30.13568813155871,-98.5,28.5
69,30.126918945224205,-98.25,28.5
70,30.174361722384884,-98.0,28.5
71,30.354734266743225,-97.75,28.5
72,30.337991067221783,-97.5,28.5
73,30.49978967223209,-97.25,28.5
74,30.538112428339307,-97.0,28.5
75,30.267319242796823,-100.25,28.75
76,30.09064706322925,-100.0,28.75
77,30.06085437236694,-99.5,28.75
78,30.071150541820455,-99.0,28.75
79,30.06900291689761,-98.75,28.75
80,30.099610641733026,-98.5,28.75
81,30.117115866724188,-98.25,28.75
82,30.08074707980939,-98.0,28.75
83,30.131910139650035,-97.75,28.75
84,30.25878721086953,-97.5,28.75
85,30.318229568913992,-97.25,28.75
86,30.45547955279919,-96.75,28.75
87,30.70098521957586,-96.5,28.75
88,30.97024997510016,-96.25,28.75
89,30.886633410427468,-96.0,28.75
90,30.13307514833958,-100.5,29.0
91,30.135867414548276,-100.25,29.0
92,30.031045236535228,-100.0,29.0
93,29.966515905353635,-99.75,29.0
94,30.055078000136955,-99.5,29.0
95,30.073710544697512,-99.25,29.0
96,30.121989189024763,-99.0,29.0
97,30.107926933894095,-98.75,29.0
98,30.075204975706022,-98.5,29.0
99,30.108999537989103,-98.0,29.0
100,30.206365532882046,-97.75,29.0
101,30.34690182044198,-97.5,29.0
102,30.388537624286702,-97.25,29.0
103,30.421948472693867,-97.0,29.0
104,30.714035427412735,-96.5,29.0
105,30.80268008708551,-96.25,29.0
106,30.959015587425363,-96.0,29.0
107,30.93064384310184,-95.75,29.0
108,30.78538519783223,-95.5,29.0
109,30.37691454335044,-103.75,29.25
110,29.94044946341399,-103.5,29.25
111,30.31970310780721,-103.25,29.25
112,30.2249210148808,-103.0,29.25
113,30.107146461565907,-100.75,29.25
114,29.919485398693585,-100.5,29.25
115,29.95311839263349,-100.25,29.25
116,29.9237733484613,-100.0,29.25
117,30.05084769664637,-99.25,29.25
