epoch,train_loss_std,val_rmse_fwi
0,0.4224860699027418,18.015945548443632
1,0.32529120329040573,17.797279447827684
2,0.30039661070324775,17.122559658727706
3,0.28520234847287407,17.101313143873735
4,0.2717570795518112,16.689387668552964
5,0.25735472843381485,16.09977632197899
6,0.24498247409167945,16.214711459878508
7,0.23655281107962225,16.016187444779288
8,0.23112426957239668,16.134569370617335
9,0.22530527335244438,16.518820091646873
10,0.2190935106775408,16.619170541320884
11,0.21408097390302055,16.354386189237665
12,0.20908947664950264,16.508173863277882
13,0.20687575372270212,16.742962200919624
14,0.2032897576440108,16.655359690190753
15,0.20092923076959132,16.466520544923576
